name,date_utc,rocket,launchpad,success,payloads,rocket_name,launch_site,launch_region,payload_id,payload_mass_kg,year,latitude,longitude
FalconSat,2006-03-24 22:30:00+00:00,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,0,['5eb0e4b5b6c3bb0006eeb1e1'],Falcon 1,Kwajalein Atoll,Marshall Islands,5eb0e4b5b6c3bb0006eeb1e1,20.0,2006,,
DemoSat,2007-03-21 01:10:00+00:00,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,0,['5eb0e4b6b6c3bb0006eeb1e2'],Falcon 1,Kwajalein Atoll,Marshall Islands,5eb0e4b6b6c3bb0006eeb1e2,,2007,,
Trailblazer,2008-08-03 03:34:00+00:00,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,0,"['5eb0e4b6b6c3bb0006eeb1e3', '5eb0e4b6b6c3bb0006eeb1e4']",Falcon 1,Kwajalein Atoll,Marshall Islands,5eb0e4b6b6c3bb0006eeb1e3,,2008,,
RatSat,2008-09-28 23:15:00+00:00,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,1,['5eb0e4b7b6c3bb0006eeb1e5'],Falcon 1,Kwajalein Atoll,Marshall Islands,5eb0e4b7b6c3bb0006eeb1e5,165.0,2008,,
RazakSat,2009-07-13 03:35:00+00:00,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,1,['5eb0e4b7b6c3bb0006eeb1e6'],Falcon 1,Kwajalein Atoll,Marshall Islands,5eb0e4b7b6c3bb0006eeb1e6,200.0,2009,,
Falcon 9 Test Flight,2010-06-04 18:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4b7b6c3bb0006eeb1e7'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4b7b6c3bb0006eeb1e7,,2010,,
COTS 1,2010-12-08 15:43:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']",Falcon 9,CCSFS SLC 40,Florida,5eb0e4b9b6c3bb0006eeb1e8,,2010,,
COTS 2,2012-05-22 07:44:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bab6c3bb0006eeb1ea'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bab6c3bb0006eeb1ea,525.0,2012,,
CRS-1,2012-10-08 00:35:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']",Falcon 9,CCSFS SLC 40,Florida,5eb0e4bab6c3bb0006eeb1eb,400.0,2012,,
CRS-2,2013-03-01 19:10:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bbb6c3bb0006eeb1ed'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bbb6c3bb0006eeb1ed,677.0,2013,,
CASSIOPE,2013-09-29 16:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4bbb6c3bb0006eeb1ee'],Falcon 9,VAFB SLC 4E,California,5eb0e4bbb6c3bb0006eeb1ee,500.0,2013,34.632093,-120.610829
SES-8,2013-12-03 22:41:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bbb6c3bb0006eeb1ef'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bbb6c3bb0006eeb1ef,3170.0,2013,,
Thaicom 6,2014-01-06 18:06:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bbb6c3bb0006eeb1f0'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bbb6c3bb0006eeb1f0,3325.0,2014,,
CRS-3,2014-04-18 19:25:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bbb6c3bb0006eeb1f1'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bbb6c3bb0006eeb1f1,2296.0,2014,,
OG-2 Mission 1,2014-07-14 15:15:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bcb6c3bb0006eeb1f2'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bcb6c3bb0006eeb1f2,1316.0,2014,,
AsiaSat 8,2014-08-05 08:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bcb6c3bb0006eeb1f3'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bcb6c3bb0006eeb1f3,4535.0,2014,,
AsiaSat 6,2014-09-07 05:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bcb6c3bb0006eeb1f4'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bcb6c3bb0006eeb1f4,4428.0,2014,,
CRS-4,2014-09-21 05:52:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bcb6c3bb0006eeb1f5'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bcb6c3bb0006eeb1f5,2216.0,2014,,
CRS-5,2015-01-10 09:47:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bdb6c3bb0006eeb1f6'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bdb6c3bb0006eeb1f6,2395.0,2015,,
DSCOVR,2015-02-11 23:03:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bdb6c3bb0006eeb1f7'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bdb6c3bb0006eeb1f7,570.0,2015,,
ABS-3A / Eutelsat 115W B,2015-03-02 03:50:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,"['5eb0e4bdb6c3bb0006eeb1f8', '5eb0e4bdb6c3bb0006eeb1f9']",Falcon 9,CCSFS SLC 40,Florida,5eb0e4bdb6c3bb0006eeb1f8,1954.0,2015,,
CRS-6,2015-04-14 20:10:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bdb6c3bb0006eeb1fa'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bdb6c3bb0006eeb1fa,1898.0,2015,,
TürkmenÄlem 52°E / MonacoSAT,2015-04-27 23:03:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4beb6c3bb0006eeb1fb'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fb,4707.0,2015,,
CRS-7,2015-06-28 14:21:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,0,['5eb0e4beb6c3bb0006eeb1fc'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fc,2477.0,2015,,
OG-2 Mission 2,2015-12-22 01:29:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4beb6c3bb0006eeb1fd'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fd,2034.0,2015,,
